date,student_id,Name,preferred_course,course_demand,predicted_performance,timestamp,course_id,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk
10/13/2024,S819,Hassan,Business Analytics,Low,Below Average,17:56.2,C103,Late,0.59,0.59,3.08,2,59,40,5,32.77,Low
10/17/2024,S991,Imran,AI,Low,Below Average,18:58.5,C104,Present,0.88,0.43,3.25,4,43,37,9,37.94,High
10/18/2024,S1917,Saad,Business Analytics,High,Average,22:16.5,C103,Late,3.65,0.95,14.75,0,95,45,17,92.76,Low
10/9/2024,S1114,Iqra,AI,Low,Below Average,20:47.4,C101,Late,1.39,0.58,2.73,4,58,36,9,34.37,High
10/23/2024,S1379,Saad,AI,Medium,Average,02:43.6,C101,Present,2.28,0.72,6.83,1,72,43,10,41.08,Medium
10/3/2024,S1427,Bilal,Business Analytics,Medium,Average,00:58.3,C104,Absent,2.14,0.64,4.19,2,64,45,11,45.56,Medium
10/17/2024,S411,Zara,Cybersecurity,Low,Below Average,18:29.5,C104,Present,0.94,0.59,2.45,4,59,40,7,23.11,High
10/26/2024,S1139,Laiba,AI,Low,Below Average,14:53.2,C101,Absent,1.86,0.46,2.51,2,46,34,6,22.39,Low
10/1/2024,S818,Aleena,AI,Low,Below Average,01:18.2,C103,Present,0.54,0.5,2.36,3,50,39,8,27.78,High
10/10/2024,S2963,Zara,Cybersecurity,High,Excellent,22:21.1,C105,Present,3.51,0.91,19.57,0,91,47,18,81.59,Low
10/20/2024,S1733,Hassan,Data Science,Medium,Average,11:38.7,C103,Late,2.69,0.65,4.24,1,65,41,13,57.21,Medium
10/9/2024,S2349,Imran,Data Science,High,Excellent,08:44.4,C101,Late,3.65,0.97,16.96,0,97,48,20,82.56,Medium
10/24/2024,S1451,Aleena,Data Science,Medium,Average,17:54.6,C102,Present,2.09,0.74,5.05,1,74,39,14,46.56,Low
10/13/2024,S228,Imran,Business Analytics,Low,Below Average,21:35.5,C104,Present,1.48,0.53,3.54,4,53,36,8,38.04,High
10/25/2024,S2701,Taha,Business Analytics,High,Excellent,22:54.4,C101,Present,3.75,0.98,13.92,0,98,45,20,82.81,Low
10/14/2024,S1581,Usman,Business Analytics,Medium,Average,07:36.2,C101,Late,2.4,0.69,6.03,1,69,45,13,56.8,Medium
10/2/2024,S1162,Danish,Business Analytics,Low,Below Average,18:54.6,C105,Present,0.72,0.57,2.36,3,57,31,7,24.71,Low
10/5/2024,S352,Saad,Business Analytics,Low,Below Average,14:33.4,C102,Present,1.71,0.53,1.38,2,53,33,6,31.68,High
10/11/2024,S1394,Laiba,Cybersecurity,Medium,Average,08:12.5,C105,Present,2.46,0.61,6.36,1,61,41,10,43.87,Medium
10/12/2024,S1264,Areeba,Web Development,Medium,Average,04:43.3,C104,Late,2.08,0.67,4.95,2,67,37,10,41.56,Medium
10/3/2024,S1238,Imran,Web Development,Medium,Average,15:55.9,C104,Present,2.02,0.73,5.56,1,73,45,12,52.58,Medium
10/5/2024,S1201,Hamza,AI,Medium,Average,11:22.1,C102,Present,2.22,0.73,4.01,1,73,42,12,50.63,Medium
10/19/2024,S2179,Zara,Data Science,High,Excellent,17:30.1,C104,Absent,3.56,0.92,15.85,0,92,50,15,83.92,Medium
10/12/2024,S2467,Hassan,Web Development,High,Excellent,20:21.2,C103,Late,3.73,0.97,15.42,0,97,48,16,99.01,Low
10/11/2024,S2011,Noor,AI,High,Excellent,20:25.7,C104,Present,3.62,0.92,11.02,0,92,47,19,92.71,Low
10/13/2024,S1378,Imran,Web Development,Medium,Average,05:57.5,C102,Late,2.77,0.73,5.34,2,73,36,14,50.59,Medium
10/10/2024,S070,Saad,Web Development,Low,Below Average,10:21.6,C104,Late,1.12,0.43,1.62,4,43,35,10,31.65,High
10/17/2024,S3598,Areeba,Cybersecurity,Low,Below Average,19:24.2,C104,Present,3.15,0.81,6.08,1,81,49,16,75.02,Low
10/1/2024,S046,Bilal,AI,Low,Below Average,01:06.2,C102,Present,1.4,0.46,3.79,2,46,33,6,20.89,High
10/8/2024,S1069,Saad,Cybersecurity,Low,Below Average,07:31.6,C103,Present,0.91,0.49,2.72,2,49,37,8,30.73,High
10/24/2024,S3494,Ahmed,Business Analytics,High,Above Average,16:48.4,C101,Present,2.98,0.77,9.32,0,77,45,16,60.47,Medium
10/11/2024,S184,Laiba,Business Analytics,Low,Below Average,01:35.4,C103,Late,1.29,0.43,2.68,3,43,38,10,37.55,Low
10/18/2024,S2251,Taha,Data Science,Low,Below Average,21:23.3,C104,Present,3.83,0.92,10.09,0,92,46,16,89.47,Low
10/21/2024,S1414,Taha,Cybersecurity,Medium,Average,10:58.5,C101,Late,2.16,0.73,4.11,2,73,39,11,46.77,Low
10/21/2024,S1587,Laiba,Business Analytics,Medium,Average,09:08.6,C102,Present,2.15,0.64,4.88,2,64,36,14,57.65,Medium
10/11/2024,S1271,Laiba,Cybersecurity,Medium,Average,08:12.5,C105,Present,2.3,0.61,4.71,2,61,44,14,47.1,Low
10/4/2024,S1415,Taha,Cybersecurity,Medium,Average,04:18.6,C103,Present,2.61,0.63,6.91,2,63,42,11,43.17,Medium
10/5/2024,S140,Saad,Business Analytics,Low,Below Average,14:33.4,C102,Present,1.98,0.42,2.0,2,42,39,6,39.34,High
10/20/2024,S3354,Saad,AI,High,Above Average,23:32.1,C101,Present,3.37,0.85,9.21,1,85,45,12,79.94,Low
10/22/2024,S3212,Danish,Data Science,Low,Average,20:33.5,C105,Present,3.08,0.88,8.0,1,88,49,13,71.82,Low
10/18/2024,S310,Bilal,AI,Low,Below Average,22:09.3,C103,Late,1.02,0.52,3.31,3,52,38,6,38.23,Low
10/8/2024,S267,Aleena,AI,Low,Below Average,07:08.5,C104,Late,1.9,0.48,3.27,3,48,38,9,36.92,Low
10/14/2024,S3151,Hassan,Cybersecurity,High,Excellent,07:00.2,C102,Late,3.77,0.94,13.7,0,94,48,20,93.0,Low
10/2/2024,S2169,Hamza,Web Development,High,Excellent,06:37.8,C104,Present,3.91,0.98,13.3,0,98,48,17,82.3,Low
10/10/2024,S3208,Noor,Data Science,High,Average,00:08.6,C101,Late,3.38,0.78,9.12,0,78,41,16,79.43,Low
10/4/2024,S064,Areeba,AI,Low,Below Average,22:15.2,C102,Present,0.8,0.45,1.84,4,45,40,7,36.64,High
10/11/2024,S2572,Iqra,AI,High,Excellent,14:00.3,C105,Present,3.84,0.91,18.62,0,91,45,18,83.56,Medium
10/3/2024,S1992,Zara,Business Analytics,Low,Average,04:33.5,C103,Absent,3.81,0.92,19.96,0,92,46,16,93.45,Medium
10/16/2024,S1579,Mariam,Business Analytics,Medium,Average,06:38.8,C102,Present,2.59,0.66,6.2,1,66,35,10,47.12,Medium
10/2/2024,S2683,Hira,Data Science,Low,Average,06:51.4,C105,Absent,3.5,0.94,11.49,0,94,46,18,80.35,Medium
10/19/2024,S145,Aleena,Web Development,Low,Below Average,03:03.3,C105,Late,1.13,0.48,2.83,2,48,32,5,36.89,High
10/12/2024,S3457,Hamza,Business Analytics,High,Below Average,01:19.3,C104,Present,3.4,0.76,6.26,1,76,45,15,75.29,Medium
10/1/2024,S3402,Danish,Business Analytics,High,Above Average,01:28.6,C105,Present,3.35,0.86,7.02,1,86,50,15,60.43,Low
10/16/2024,S3993,Imran,Business Analytics,High,Above Average,21:08.4,C102,Present,2.92,0.9,6.75,1,90,44,15,71.72,Low
10/12/2024,S1406,Hassan,Business Analytics,Medium,Average,18:12.3,C101,Present,2.37,0.72,6.36,2,72,44,14,49.64,Medium
10/2/2024,S3667,Aleena,Web Development,High,Above Average,03:49.1,C105,Absent,3.0,0.83,8.67,1,83,42,16,62.85,Low
10/2/2024,S2580,Usman,Data Science,High,Excellent,21:47.4,C104,Present,3.71,0.96,10.96,0,96,48,17,95.67,Low
10/11/2024,S777,Danish,Web Development,Low,Below Average,21:19.6,C101,Present,1.03,0.47,1.96,2,47,32,5,25.35,High
10/12/2024,S2172,Zara,AI,High,Excellent,07:19.1,C103,Present,3.68,0.91,10.6,0,91,45,18,90.55,Medium
10/1/2024,S3025,Areeba,Business Analytics,High,Excellent,07:52.3,C102,Late,3.72,0.91,14.36,0,91,46,18,97.39,Low
10/12/2024,S1965,Mariam,Business Analytics,High,Excellent,16:34.3,C103,Present,3.85,0.91,14.44,0,91,49,17,89.01,Low
10/16/2024,S970,Aleena,Web Development,Low,Below Average,19:46.5,C105,Late,0.81,0.59,2.79,2,59,36,10,37.11,High
10/9/2024,S2282,Mariam,Web Development,High,Excellent,23:53.5,C105,Present,3.77,0.94,11.94,0,94,49,19,94.43,Low
10/19/2024,S252,Ahmed,Cybersecurity,Low,Below Average,02:30.5,C102,Present,0.89,0.54,2.44,2,54,39,7,38.49,High
10/15/2024,S3615,Laiba,Data Science,High,Above Average,18:35.3,C104,Present,3.47,0.8,8.06,1,80,40,16,74.54,Low
10/4/2024,S865,Hira,Web Development,Low,Below Average,10:55.3,C105,Late,1.39,0.41,2.55,3,41,35,7,32.61,Low
10/11/2024,S810,Zara,Web Development,Low,Below Average,22:11.2,C105,Late,1.65,0.44,1.57,4,44,32,9,22.82,High
10/10/2024,S1599,Hassan,Data Science,Medium,Average,23:19.5,C102,Present,2.58,0.62,5.46,1,62,45,13,51.22,Low
10/5/2024,S2593,Mehwish,Web Development,High,Excellent,05:45.4,C104,Present,3.75,0.95,18.29,0,95,49,18,89.0,Low
10/14/2024,S3493,Fatima,Data Science,High,Above Average,16:42.1,C101,Present,2.9,0.84,7.63,1,84,45,12,78.18,Low
10/26/2024,S1299,Usman,Web Development,Medium,Average,19:26.4,C105,Present,2.62,0.75,6.19,1,75,45,14,46.74,Medium
10/3/2024,S3871,Danish,Business Analytics,High,Above Average,01:32.1,C104,Late,2.85,0.86,8.45,0,86,45,13,62.9,Medium
10/23/2024,S280,Danish,AI,Low,Below Average,12:38.1,C103,Late,1.82,0.42,1.64,4,42,30,8,31.16,High
10/20/2024,S1462,Hassan,Data Science,Medium,Average,11:38.7,C103,Late,2.2,0.68,4.69,2,68,43,12,58.18,Medium
10/4/2024,S1423,Hira,Business Analytics,Medium,Average,12:23.3,C101,Present,2.33,0.61,6.65,2,61,39,10,47.4,Medium
10/26/2024,S3284,Hira,Data Science,High,Above Average,22:08.4,C104,Present,3.02,0.82,7.49,0,82,46,16,60.52,Low
10/23/2024,S1573,Laiba,Cybersecurity,Medium,Average,22:23.5,C104,Present,2.4,0.74,6.11,2,74,41,12,52.51,Medium
10/22/2024,S359,Mariam,Web Development,Low,Below Average,02:18.5,C102,Present,1.13,0.4,3.66,4,40,32,7,32.4,High
10/24/2024,S3928,Hira,Business Analytics,High,Above Average,05:42.1,C105,Present,3.17,0.84,6.32,1,84,49,15,74.99,Medium
10/11/2024,S300,Imran,Cybersecurity,Low,Below Average,00:59.3,C101,Absent,1.28,0.42,1.45,4,42,39,7,39.88,High
10/17/2024,S1076,Zara,Cybersecurity,Low,Below Average,18:29.5,C104,Present,0.85,0.55,3.4,4,55,40,9,27.54,High
10/18/2024,S1030,Bilal,AI,Low,Below Average,22:09.3,C103,Late,1.18,0.56,1.12,4,56,38,8,25.16,High
10/9/2024,S535,Areeba,Cybersecurity,Low,Below Average,15:02.6,C103,Present,1.27,0.4,1.82,4,40,39,9,37.94,High
10/3/2024,S3318,Aleena,Business Analytics,High,Below Average,10:29.4,C102,Present,3.47,0.8,8.44,0,80,48,16,70.61,Low
10/3/2024,S3253,Aleena,Business Analytics,High,Below Average,10:29.4,C102,Present,2.96,0.79,6.52,1,79,50,15,79.61,Low
10/9/2024,S1771,Bilal,Cybersecurity,Medium,Average,12:36.4,C103,Present,2.05,0.62,5.39,2,62,38,13,54.79,Medium
10/10/2024,S2919,Taha,Data Science,High,Excellent,07:46.5,C103,Present,3.55,0.9,13.12,0,90,45,16,98.68,Low
10/19/2024,S416,Iqra,AI,Low,Below Average,08:58.2,C101,Present,1.17,0.48,1.16,2,48,33,5,36.94,High
10/7/2024,S840,Hamza,AI,Low,Below Average,06:09.3,C101,Present,0.52,0.46,2.97,2,46,38,6,24.05,High
10/5/2024,S2628,Laiba,Data Science,High,Excellent,00:21.4,C103,Present,3.76,0.91,18.52,0,91,50,19,87.14,Low
10/18/2024,S3805,Noor,Cybersecurity,High,Above Average,16:10.5,C103,Present,3.2,0.84,9.32,1,84,43,12,68.67,Low
10/24/2024,S1043,Mehwish,Business Analytics,Low,Below Average,07:52.4,C102,Present,1.96,0.6,2.9,4,60,35,7,36.13,Low
10/3/2024,S1498,Fatima,Cybersecurity,Medium,Average,18:30.5,C105,Absent,2.23,0.67,5.14,1,67,42,13,53.43,Medium
10/3/2024,S1399,Zara,Cybersecurity,Medium,Average,01:10.5,C103,Present,2.15,0.7,5.9,1,70,35,12,41.63,Medium
10/4/2024,S309,Aleena,Business Analytics,Low,Below Average,02:53.4,C103,Present,1.48,0.56,1.02,4,56,34,7,33.71,High
10/1/2024,S1533,Hassan,Data Science,Medium,Average,11:50.4,C105,Absent,2.76,0.71,5.03,1,71,44,10,43.77,Low
10/21/2024,S2488,Usman,Cybersecurity,Low,Average,14:11.2,C105,Late,3.72,0.91,14.37,0,91,49,18,88.76,Low
10/13/2024,S3285,Hassan,Web Development,High,Above Average,17:28.7,C103,Present,3.09,0.79,7.8,1,79,47,12,75.28,Low
10/9/2024,S2619,Usman,Web Development,High,Excellent,15:25.2,C105,Late,3.51,0.94,16.97,0,94,50,17,86.18,Low
10/13/2024,S1074,Danish,Data Science,Low,Below Average,23:42.5,C102,Present,0.88,0.43,3.67,4,43,38,7,32.75,Low
10/2/2024,S3300,Iqra,Business Analytics,High,Above Average,11:00.3,C103,Present,3.28,0.78,9.37,1,78,47,13,63.65,Medium
10/23/2024,S3053,Taha,AI,Low,Below Average,13:35.3,C102,Present,3.5,0.95,19.32,0,95,50,20,98.43,Low
10/5/2024,S3518,Imran,Cybersecurity,High,Above Average,12:00.4,C105,Late,3.36,0.83,6.66,1,83,49,16,70.6,Low
10/11/2024,S762,Aleena,Web Development,Low,Below Average,08:29.4,C105,Present,1.61,0.47,2.42,3,47,33,9,25.45,High
10/7/2024,S2772,Taha,Web Development,Low,Below Average,11:40.4,C103,Absent,3.71,0.91,15.94,0,91,48,17,82.3,Low
10/23/2024,S1111,Aleena,Data Science,Low,Below Average,02:36.3,C101,Present,1.86,0.43,3.35,4,43,37,7,33.56,Low
10/7/2024,S1877,Mariam,Business Analytics,High,Excellent,08:19.5,C104,Present,3.6,0.94,10.8,0,94,46,17,98.7,Medium
10/14/2024,S2054,Mariam,Data Science,High,Excellent,12:13.9,C102,Present,3.8,0.92,12.81,0,92,48,16,81.63,Low
10/8/2024,S059,Taha,Web Development,Low,Below Average,19:16.5,C103,Late,1.04,0.57,3.24,4,57,35,9,38.73,Low
10/26/2024,S077,Mehwish,AI,Low,Below Average,21:38.5,C104,Present,1.69,0.41,2.36,4,41,39,5,33.59,High
10/23/2024,S369,Aleena,Business Analytics,Low,Below Average,01:13.7,C102,Present,0.59,0.49,3.68,3,49,39,5,34.7,High
10/18/2024,S2430,Mehwish,Data Science,High,Excellent,14:05.6,C104,Present,3.97,0.96,16.12,0,96,47,18,87.31,Low
10/11/2024,S3201,Saad,Data Science,High,Above Average,15:37.1,C102,Present,3.12,0.76,9.78,0,76,50,16,77.21,Low
10/3/2024,S734,Iqra,Business Analytics,Low,Below Average,21:24.3,C102,Present,0.87,0.58,3.2,4,58,38,10,24.76,High
10/26/2024,S3830,Zara,Cybersecurity,High,Above Average,11:01.5,C102,Present,3.48,0.8,9.52,1,80,49,14,66.71,Low
10/24/2024,S2320,Fatima,Web Development,High,Below Average,07:33.6,C102,Present,3.87,0.96,13.9,0,96,48,16,80.04,Low
10/24/2024,S2385,Mehwish,AI,High,Excellent,22:37.5,C103,Absent,3.64,0.92,13.31,0,92,48,20,87.8,Low
10/16/2024,S2731,Ahmed,Web Development,High,Excellent,06:45.3,C103,Absent,3.96,0.95,16.99,0,95,47,16,94.53,Low
10/20/2024,S1840,Bilal,Business Analytics,High,Excellent,15:26.2,C103,Present,3.74,0.97,18.23,0,97,46,16,90.6,Low
10/21/2024,S2665,Ayaan,Web Development,High,Excellent,10:14.6,C101,Absent,3.93,0.94,19.95,0,94,46,17,84.0,Low
10/24/2024,S125,Iqra,Business Analytics,Low,Below Average,00:41.1,C104,Late,1.43,0.48,2.81,3,48,33,8,36.8,High
10/19/2024,S3473,Ahmed,Data Science,High,Above Average,06:47.4,C103,Present,3.16,0.78,9.38,0,78,46,12,69.53,Low
10/21/2024,S3732,Mariam,AI,High,Above Average,17:35.2,C105,Present,2.84,0.78,7.62,0,78,42,13,62.82,Low
10/24/2024,S2257,Mehwish,AI,High,Excellent,22:37.5,C103,Absent,3.8,0.91,18.18,0,91,48,15,80.11,Low
10/3/2024,S2314,Taha,Cybersecurity,High,Excellent,21:22.6,C101,Absent,3.97,0.96,19.79,0,96,49,20,83.3,Low
10/1/2024,S430,Laiba,Data Science,Low,Below Average,02:37.4,C101,Late,1.05,0.44,1.51,2,44,40,7,32.29,Low
10/22/2024,S1974,Hira,Web Development,High,Excellent,07:18.8,C104,Present,3.58,0.91,18.5,0,91,45,20,89.77,Low
10/1/2024,S3954,Danish,Business Analytics,High,Average,01:28.6,C105,Present,2.82,0.81,6.42,0,81,48,12,67.57,Medium
10/16/2024,S817,Fatima,Web Development,Low,Below Average,12:45.5,C104,Present,0.64,0.5,3.32,3,50,30,10,25.09,High
10/13/2024,S2717,Ayaan,Web Development,High,Average,14:50.2,C104,Present,3.61,0.97,19.31,0,97,47,18,83.09,Low
10/13/2024,S3056,Fatima,Business Analytics,High,Excellent,11:12.4,C103,Late,3.55,0.98,18.7,0,98,47,15,81.33,Low
10/17/2024,S1692,Areeba,Business Analytics,Medium,Average,07:13.3,C101,Present,2.6,0.68,4.89,2,68,41,11,57.93,Medium
10/21/2024,S388,Imran,AI,Low,Below Average,12:02.2,C101,Present,0.57,0.52,2.97,2,52,40,8,36.29,Low
10/6/2024,S031,Laiba,Web Development,Low,Below Average,03:29.4,C101,Present,1.18,0.43,3.35,3,43,30,6,21.4,High
10/11/2024,S1176,Danish,Web Development,Low,Below Average,21:19.6,C101,Present,1.11,0.49,3.17,2,49,39,7,25.67,Low
10/1/2024,S204,Mariam,Web Development,Low,Below Average,14:04.3,C103,Present,1.32,0.54,1.53,4,54,31,7,26.85,High
10/11/2024,S1026,Zara,Web Development,Low,Below Average,22:11.2,C105,Late,1.16,0.47,3.6,3,47,30,8,25.62,Low
10/21/2024,S3858,Hassan,AI,High,Below Average,13:31.4,C104,Present,3.42,0.8,7.04,0,80,41,15,61.51,Low
10/12/2024,S3758,Iqra,Web Development,Low,Average,17:29.2,C104,Absent,3.43,0.81,8.82,1,81,40,16,63.28,Low
10/6/2024,S894,Mehwish,AI,Low,Below Average,22:23.8,C102,Present,1.68,0.5,2.8,3,50,31,8,38.98,High
10/14/2024,S2679,Usman,AI,High,Excellent,02:52.3,C102,Late,3.95,0.98,13.27,0,98,47,15,93.18,Low
10/23/2024,S2667,Areeba,Web Development,High,Excellent,16:54.1,C105,Late,3.98,0.95,12.76,0,95,47,18,86.79,Low
10/15/2024,S479,Mehwish,Data Science,Low,Below Average,09:35.3,C103,Late,1.61,0.42,2.3,2,42,36,10,30.69,Low
10/11/2024,S1685,Aleena,Cybersecurity,Medium,Average,06:02.5,C105,Present,2.69,0.7,4.99,2,70,40,10,59.15,Medium
10/8/2024,S1351,Mehwish,Web Development,Medium,Average,10:38.3,C103,Late,2.55,0.74,5.14,1,74,42,13,50.99,Low
10/15/2024,S444,Saad,Data Science,Low,Below Average,16:35.3,C104,Present,1.39,0.6,2.38,4,60,37,10,26.67,High
10/2/2024,S2771,Hira,Data Science,Low,Average,06:51.4,C105,Absent,3.82,0.92,10.7,0,92,48,15,93.24,Low
10/18/2024,S1339,Imran,AI,Medium,Average,07:53.6,C104,Present,2.41,0.66,4.25,2,66,39,14,54.31,Low
10/22/2024,S193,Bilal,AI,Low,Below Average,03:08.6,C104,Absent,1.23,0.4,3.34,4,40,40,10,26.29,High
10/23/2024,S2970,Areeba,AI,High,Excellent,20:32.4,C103,Present,3.9,0.96,17.33,0,96,47,19,92.85,Low
10/25/2024,S1129,Ahmed,Data Science,Low,Below Average,14:56.4,C103,Late,1.33,0.59,3.71,4,59,39,5,22.71,Low
10/6/2024,S007,Areeba,Web Development,Low,Below Average,21:12.2,C105,Present,0.86,0.54,3.69,3,54,30,5,30.97,High
10/3/2024,S440,Taha,Cybersecurity,Low,Below Average,09:45.3,C102,Present,0.83,0.56,2.33,3,56,40,8,27.34,High
10/20/2024,S290,Ayaan,Business Analytics,Low,Below Average,01:28.5,C104,Late,0.67,0.54,2.93,3,54,38,8,34.65,High
10/18/2024,S1107,Ayaan,Business Analytics,Low,Below Average,10:54.5,C101,Late,2.0,0.44,3.29,2,44,38,7,24.45,High
10/3/2024,S3694,Zara,Business Analytics,High,Below Average,22:35.4,C103,Present,3.25,0.75,6.97,1,75,47,14,73.78,Low
10/7/2024,S3417,Taha,Business Analytics,Low,Below Average,05:13.6,C104,Present,3.06,0.76,6.23,0,76,49,12,76.42,Low
10/25/2024,S3941,Hira,Cybersecurity,High,Above Average,10:52.4,C101,Late,3.03,0.87,8.77,1,87,46,15,77.12,Medium
10/24/2024,S1922,Ayaan,Web Development,High,Excellent,04:30.5,C105,Present,3.81,0.99,13.37,0,99,48,15,92.7,Low
10/20/2024,S2478,Imran,Cybersecurity,High,Below Average,07:20.5,C101,Present,3.99,0.94,13.8,0,94,49,19,95.89,Low
10/19/2024,S2368,Zara,Web Development,High,Excellent,20:52.2,C103,Present,3.94,0.92,15.87,0,92,45,17,90.36,Low
10/17/2024,S1736,Noor,AI,Medium,Average,08:39.4,C101,Present,2.75,0.74,5.38,1,74,39,12,58.22,Medium
10/1/2024,S2685,Areeba,Business Analytics,Low,Below Average,07:52.3,C102,Late,3.81,0.98,17.78,0,98,49,15,81.91,Low
10/21/2024,S3883,Aleena,Cybersecurity,High,Average,15:29.2,C103,Present,3.02,0.81,8.63,0,81,47,16,76.65,Low
10/10/2024,S195,Imran,Data Science,Low,Below Average,17:16.4,C105,Present,1.39,0.58,3.29,4,58,40,5,23.57,High
10/2/2024,S451,Iqra,Web Development,Low,Below Average,04:46.3,C101,Present,1.58,0.45,2.3,3,45,33,6,39.51,High
10/11/2024,S1594,Bilal,Business Analytics,Medium,Average,03:59.4,C101,Present,2.43,0.6,5.65,1,60,37,12,53.3,Low
10/10/2024,S1106,Imran,Data Science,Low,Below Average,17:16.4,C105,Present,1.12,0.53,2.77,4,53,32,9,36.74,High
10/14/2024,S030,Ayaan,Web Development,Low,Below Average,13:45.2,C102,Present,0.68,0.47,1.95,2,47,32,7,25.18,High
10/11/2024,S786,Aleena,Web Development,Low,Below Average,08:29.4,C105,Present,0.87,0.51,2.12,3,51,39,10,25.71,High
10/24/2024,S3998,Hassan,Business Analytics,High,Above Average,08:28.3,C101,Present,3.35,0.88,7.92,1,88,46,16,65.31,Low
10/21/2024,S2623,Hira,Business Analytics,Low,Below Average,08:57.2,C103,Present,3.5,0.91,11.62,0,91,47,17,81.46,Medium
10/3/2024,S2908,Danish,Business Analytics,High,Below Average,21:27.1,C105,Present,3.82,0.93,14.4,0,93,47,18,88.51,Low
10/10/2024,S3388,Hira,AI,High,Above Average,05:45.5,C104,Present,3.23,0.76,8.38,0,76,45,12,79.8,Low
10/22/2024,S3787,Noor,AI,High,Above Average,08:55.2,C101,Present,3.25,0.79,8.31,0,79,49,15,75.6,Medium
10/17/2024,S882,Hassan,Cybersecurity,Low,Below Average,09:12.3,C102,Late,0.5,0.56,3.55,4,56,30,9,31.69,Low
10/13/2024,S3700,Saad,Business Analytics,High,Above Average,14:01.0,C101,Present,3.04,0.85,6.7,0,85,47,14,72.45,Medium
10/10/2024,S2370,Zara,Data Science,High,Excellent,01:34.9,C105,Present,3.57,0.95,12.77,0,95,45,18,83.64,Low
10/7/2024,S2737,Zara,Data Science,High,Excellent,19:19.2,C102,Late,3.6,0.94,18.53,0,94,50,20,97.78,Low
10/19/2024,S3595,Ahmed,Data Science,High,Above Average,02:12.9,C104,Present,3.07,0.88,9.86,1,88,46,14,66.4,Medium
10/8/2024,S223,Aleena,AI,Low,Below Average,07:08.5,C104,Late,0.81,0.42,3.76,4,42,31,6,21.87,High
10/5/2024,S1996,Saad,Data Science,Low,Below Average,11:50.2,C101,Absent,3.93,0.93,19.56,0,93,46,17,88.81,Low
10/18/2024,S1718,Fatima,Data Science,Medium,Average,13:12.1,C101,Present,2.79,0.62,5.64,2,62,43,10,40.17,Medium
10/11/2024,S574,Aleena,Web Development,Low,Below Average,08:29.4,C105,Present,1.42,0.48,2.75,4,48,32,8,32.18,Low
10/1/2024,S3329,Danish,Business Analytics,High,Above Average,17:08.4,C102,Present,2.91,0.84,7.62,1,84,48,13,64.21,Low
10/3/2024,S3378,Areeba,Business Analytics,Low,Below Average,22:28.6,C104,Present,3.37,0.82,8.59,1,82,40,14,67.06,Low
10/10/2024,S1538,Ayaan,Web Development,Medium,Average,08:51.5,C101,Present,2.75,0.68,6.97,1,68,44,13,45.94,Low
10/18/2024,S1259,Imran,AI,Medium,Average,07:53.6,C104,Present,2.53,0.66,6.32,2,66,45,12,44.4,Medium
10/6/2024,S2755,Danish,AI,High,Excellent,18:57.0,C101,Absent,3.56,0.96,11.98,0,96,45,16,99.48,Medium
10/11/2024,S1346,Areeba,Web Development,Medium,Average,12:08.2,C104,Present,2.22,0.63,4.52,2,63,45,14,54.8,Medium
10/20/2024,S081,Zara,Cybersecurity,Low,Below Average,03:06.4,C102,Present,1.67,0.54,2.06,2,54,40,5,28.38,High
10/3/2024,S258,Iqra,Business Analytics,Low,Below Average,21:24.3,C102,Present,0.56,0.47,1.29,3,47,31,5,34.75,Low
10/16/2024,S296,Hira,AI,Low,Below Average,05:13.5,C102,Absent,0.59,0.49,1.68,3,49,33,5,31.63,High
10/24/2024,S2093,Zara,Web Development,High,Excellent,02:03.4,C103,Present,3.58,0.93,19.76,0,93,48,17,87.31,Low
10/26/2024,S1035,Noor,Data Science,Low,Below Average,13:20.4,C103,Present,1.01,0.51,2.15,3,51,34,9,24.19,High
10/11/2024,S1546,Aleena,Cybersecurity,Medium,Average,06:02.5,C105,Present,2.17,0.7,5.49,2,70,44,13,53.56,Low
10/17/2024,S1841,Noor,Business Analytics,High,Excellent,12:36.5,C102,Present,3.61,0.96,19.12,0,96,50,17,93.63,Low
10/14/2024,S1741,Areeba,Web Development,Medium,Average,20:50.2,C103,Present,2.53,0.74,5.81,1,74,36,14,43.89,Medium
10/17/2024,S2376,Mariam,AI,High,Excellent,19:39.3,C102,Present,3.68,0.99,19.85,0,99,49,18,94.2,Low
10/16/2024,S655,Aleena,AI,Low,Below Average,18:03.4,C103,Late,0.98,0.58,2.08,2,58,31,9,24.06,High
10/25/2024,S2777,Iqra,Business Analytics,High,Excellent,14:25.4,C101,Late,3.96,0.95,19.94,0,95,48,15,80.4,Low
10/22/2024,S2856,Areeba,Cybersecurity,Low,Below Average,21:33.4,C105,Present,3.96,0.96,16.26,0,96,48,16,98.84,Low
10/23/2024,S2326,Hamza,Business Analytics,High,Excellent,08:39.2,C101,Absent,3.73,0.94,10.55,0,94,50,19,98.2,Low
10/21/2024,S3183,Mariam,Cybersecurity,Low,Average,05:51.2,C105,Present,3.92,0.95,16.36,0,95,50,17,90.14,Low
10/1/2024,S3568,Hassan,Data Science,High,Above Average,04:08.2,C105,Present,3.26,0.9,7.09,1,90,43,15,70.75,Low
10/25/2024,S3571,Iqra,Web Development,High,Above Average,01:18.9,C101,Late,2.84,0.77,8.73,0,77,48,14,65.51,Low
